SKU	price
UOW72ZLIVO	$7.09
N0FLMNHXHF	$0.22
I238063KJ0	$0.97
MU87JJIOUY	$0.79
E8LRZ9FOE4	$4.48
K4KAKH6NR9	$2.35
BHEX2EGMVP	$8.73
MGIN7UC3Q3	$3.57
VRSKTN2C2A	$1.25
KRJO9C4WSZ	$4.27
ABBFPR9J7E	$4.11
VW4GEX7VLK	$3.53
UBXLJFQBNB	$2.33
LUR274UFQS	$1.03
B3EFA7IPB0	$1.82
UYFDHYZTJE	$2.92
ECCVVKEXHS	$6.05
67MQYX6W7O	$9.62
I210DX7Q4X	$8.35
LQJ5G37SKU	$1.29
IBWRYO2VDF	$3.25
SD5HP3RP4H	$0.89
O1GY5GTHZW	$8.00
1VJ38YQV4T	$2.21
OB9FHSSUXP	$9.61
AI7Y3W21NZ	$1.24
XE6EI4Y3Y7	$9.87
266IFLPK1H	$3.40
VHLOUXJSTD	$0.64
I29KXA7KA9	$4.82
7SOC7JRCCP	$9.88
HLDS12HHAZ	$5.71
Q9VGLW5ZCP	$5.03
FFW73GPQIE	$6.08
58VHM0HWGL	$8.36
HJ1GJF2NS5	$3.01
YS8XFMQE1A	$8.78
VA1YHV20ZP	$9.96
LQKMJRA4G5	$3.66
HQM90P87J1	$3.15
S7RUNG93NV	$4.69
IYVOAAOMGN	$5.53
THIEFP8ZEH	$8.75
87GWB6I289	$6.70
B3HU9W5OX6	$8.61
IIWPHWPB71	$1.46
09FOPRJLJY	$1.90
NXVXLVRFLZ	$2.07
NYFG4ID0UD	$6.02
KM56G5D9E0	$7.22
1S9ZK1B4DX	$4.85
EXME845MKI	$9.02
3JO1PAT9FN	$2.27
QL3FBBPHEP	$0.88
UWKDUTHU96	$6.18
AW31VJZISP	$5.44
BAHOXMQRMT	$6.90
XJ43YF0TCR	$9.70
DI8M9OFRJ9	$8.09
ROB8FFRKGE	$6.48
WZ5HM26UEY	$5.57
XULNY6H4NP	$8.43
7BLF0SCVS2	$4.03
79X67VNCZX	$4.09
MQ88XHO0AG	$4.12
6S4E5159JK	$8.75
DK2MQH2IUD	$3.67
LD68I3M831	$5.92
XZQVX8R8KA	$3.90
20W141VLF7	$4.37
0LMITXRN6B	$7.01
A2MST6LZ8E	$2.91
N04SYGQZFF	$1.53
EUOWE3DJRO	$2.37
937Y60TWDJ	$7.83
A9F2G5O2BX	$7.73
2TCYUQA1OR	$0.66
J517PFX3RF	$9.33
PDWYCWPT4L	$9.30
8KVQV37ARG	$6.93
K052AGU5NE	$6.05
2QUZCSFHXZ	$5.25
UBV7LB1EIC	$8.40
ULNLG3VXQM	$7.46
7R6ULQE3ZL	$7.13
8W550WAQ1B	$9.46
06KPVQFYLD	$1.55
N1AC5PYYAT	$2.04
MJ622BJOW3	$2.44
POKH2W4QC8	$9.74
4K23RQH8CK	$5.02
U6B7UF1DSV	$0.15
P4J49R7TKG	$9.48
MUDVBRTC86	$6.61
YKHFSI04NY	$4.57
2RY8GL77F0	$4.19
URKXW7RV9Z	$8.41
M7QZWHJZ9Q	$1.47
Q0U0OOUHZL	$2.37
LA0GU66733	$9.42
SQCYOKZAEF	$1.49
2XCYKJZWFE	$3.65
SQNULRFYYJ	$7.69
N0VX77PUPK	$5.45
NRAE9J9J2L	$6.45
B8BE18NWZ1	$8.06
HOO617OGEG	$9.42
WVJOJFGT90	$1.45
RI2Y794IA0	$0.71
94IJKHL55Y	$2.25
TBHO0MY9LH	$4.22
1XJMM1JV36	$3.33
17RW9MNC21	$8.68
7ZH3O7WB26	$8.20
OKFAAP17Q7	$7.60
PNV65RQ3GK	$3.03
6HNM8FP7EY	$1.15
CR7I5GJWRS	$5.61
7THQ6PHWQP	$5.27
HQONEETAIE	$5.37
E6E1Z3AJWP	$4.73
F8VTZ5JFFU	$6.07
AWM3EXVG0Z	$2.09
5N7AXQ874V	$5.82
KLIH0SN5R1	$0.03
QUXAR1FM1V	$4.77
1ONYW3S278	$7.73
P4QGVGPUF5	$2.28
GVWGHEAEWE	$8.49
625NJNJ6IV	$2.80
A58K7MEV6M	$6.28
TDC729FIN6	$5.70
MU8FBI6UW7	$1.36
